-20,1310,351296597291.0452,2,0.73629,251.7958
-20,1310,351296597291.0452,3,0.73629,251.7958
-20,1310,351296597291.0452,3,0.73629,251.7958
-20,1550,403340537630.4594,4,0.75446,581.3341
-20,1550,533450388478.9946,5,0.73939,570.3037
-40,1550,390329552545.6058,6,0.71626,1024.2828
-40,1550,481406448139.5805,7,0.7668,252.9035
-40,1310,637538269157.8229,8,0.75673,104.1452
-60,1310,585494328818.4088,9,0.77907,47.7381
-60,1310,741626149836.6511,10,0.76244,49.5667
-60,1310,351296597291.0452,11,0.7416,82.68
-60,1550,611516298988.1158,13,0.75546,214.1952
-60,1550,351296597291.0452,12,0.76351,286.4392
-60,1550,611516298988.1158,13,0.75546,214.1952
-20,1310,252463384938.5255,15,0.82778,211.9943
-20,1310,252463384938.5255,15,0.82778,211.9943
-40,1310,134647138633.8803,16,0.77618,472.3273
-60,1550,162698625849.272,18,0.82814,290.2754
-60,1310,291735467040.0739,19,0.72993,473.1684
